entity_id	total_population	buddhist	hindu	islam	roman_catholic	other_christian	other
EC-01	2323964.0	1632125.0	186303.0	274067.0	162260.0	66947.0	2262.0
EC-01A	131012.0	26042.0	42229.0	26638.0	28771.0	7247.0	85.0
EC-01B	192211.0	35406.0	31145.0	108362.0	13664.0	3468.0	166.0
EC-01C	89806.0	48214.0	11863.0	19622.0	7261.0	2731.0	115.0
EC-01D	93260.0	50437.0	21742.0	9997.0	6403.0	4489.0	192.0
EC-01E	54682.0	15159.0	19864.0	11828.0	4544.0	3042.0	245.0
EC-01F	88962.0	48310.0	10783.0	20109.0	5976.0	3684.0	100.0
EC-01G	95506.0	66808.0	5739.0	10837.0	7183.0	4847.0	92.0
EC-01H	191687.0	123787.0	13050.0	44189.0	7360.0	3260.0	41.0
EC-01I	107883.0	83139.0	4880.0	6798.0	7853.0	5055.0	158.0
EC-01J	252041.0	227939.0	3524.0	3735.0	12519.0	3879.0	445.0
EC-01K	164510.0	140390.0	10789.0	2177.0	8736.0	2372.0	46.0
EC-01L	252469.0	242941.0	1965.0	1496.0	3756.0	2258.0	53.0
EC-01M	196423.0	180631.0	2921.0	2780.0	6618.0	3285.0	188.0
EC-01N	245232.0	228138.0	2260.0	2160.0	8297.0	4271.0	106.0
EC-01O	168280.0	114784.0	3549.0	3339.0	33319.0	13059.0	230.0
EC-02	2304833.0	1642767.0	52973.0	112746.0	449398.0	46080.0	869.0
EC-02A	175525.0	52405.0	22782.0	11407.0	79334.0	9453.0	144.0
EC-02B	142136.0	15732.0	8317.0	20374.0	92828.0	4755.0	130.0
EC-02C	235291.0	141353.0	3923.0	4799.0	75385.0	9676.0	155.0
EC-02D	144506.0	122905.0	616.0	151.0	19395.0	1417.0	22.0
EC-02E	164580.0	153905.0	651.0	7676.0	1794.0	534.0	20.0
EC-02F	178331.0	157739.0	662.0	6315.0	11512.0	2084.0	19.0
EC-02G	179565.0	151786.0	1105.0	22303.0	3685.0	677.0	9.0
EC-02H	197667.0	173095.0	855.0	463.0	21085.0	2137.0	32.0
EC-02I	201521.0	87772.0	4235.0	2115.0	99515.0	7746.0	138.0
EC-02J	207782.0	176491.0	1333.0	9255.0	18183.0	2459.0	61.0
EC-02K	154005.0	145586.0	514.0	2419.0	4691.0	776.0	19.0
EC-02L	186585.0	161364.0	1565.0	13030.0	8533.0	2035.0	58.0
EC-02M	137339.0	102634.0	6415.0	12439.0	13458.0	2331.0	62.0
