entity_id	total_population	sinhalese	sl_tamil	ind_tamil	sl_moor	burgher	malay	sl_chetty	bharatha	other_eth
EC-01	2323964.0	1778826.0	234953.0	24260.0	249604.0	13305.0	14444.0	909.0	686.0	6977.0
EC-01A	131012.0	42143.0	58763.0	3256.0	25098.0	532.0	543.0	345.0	91.0	241.0
EC-01B	192211.0	38572.0	41805.0	2996.0	104392.0	856.0	3144.0	18.0	64.0	364.0
EC-01C	89806.0	51932.0	17842.0	639.0	17147.0	437.0	1145.0	24.0	15.0	625.0
EC-01D	93260.0	54846.0	26711.0	1353.0	8311.0	533.0	622.0	48.0	102.0	734.0
EC-01E	54682.0	18669.0	22006.0	1436.0	10504.0	410.0	275.0	114.0	169.0	1099.0
EC-01F	88962.0	53822.0	12856.0	946.0	18538.0	1505.0	608.0	64.0	38.0	585.0
EC-01G	95506.0	75387.0	7918.0	808.0	9295.0	1098.0	515.0	37.0	19.0	429.0
EC-01H	191687.0	129263.0	16059.0	1508.0	40950.0	1166.0	2310.0	48.0	19.0	364.0
EC-01I	107883.0	91493.0	7435.0	807.0	5529.0	1039.0	792.0	69.0	52.0	667.0
EC-01J	252041.0	241070.0	4712.0	626.0	2180.0	1269.0	1206.0	46.0	50.0	882.0
EC-01K	164510.0	148495.0	5653.0	8065.0	1884.0	161.0	141.0	2.0	1.0	108.0
EC-01L	252469.0	247788.0	2198.0	432.0	598.0	536.0	775.0	18.0	29.0	95.0
EC-01M	196423.0	188054.0	3348.0	538.0	1379.0	1525.0	1187.0	24.0	17.0	351.0
EC-01N	245232.0	238554.0	2659.0	445.0	1101.0	1446.0	762.0	26.0	10.0	229.0
EC-01O	168280.0	158738.0	4988.0	405.0	2698.0	792.0	419.0	26.0	10.0	204.0
EC-02	2304833.0	2086469.0	81245.0	9137.0	97621.0	10784.0	12720.0	3861.0	568.0	2428.0
EC-02A	175525.0	124814.0	33019.0	3280.0	10065.0	2566.0	1128.0	203.0	64.0	386.0
EC-02B	142136.0	107299.0	12785.0	887.0	19673.0	457.0	305.0	98.0	290.0	342.0
EC-02C	235291.0	215581.0	9892.0	972.0	3431.0	836.0	1054.0	3247.0	27.0	251.0
EC-02D	144506.0	143030.0	1013.0	185.0	80.0	114.0	38.0	15.0	1.0	30.0
